 ---------------------------------------------------------
 --        Results of the Monte Carlo Simulation        --
 ---------------------------------------------------------

 Monte Carlo Processes (total):  10000
      (successfully completed):  9963

 Zeropoint:	0.0006622612060
 Uncertainty:	0.001117268329

 Nr.	Freq. sigma	Ampl. sigma	Pha. sigma
 ---------------------------------------------------------
 F1	fixed		0.001580473399	0.006416365731
 F2	fixed		0.001538555041	0.02603201627
 F3	fixed		0.00157663175	0.02692818135
 F4	fixed		0.001532554837	0.03690877265
 F5	fixed		0.001548340241	0.04174906119



 Results for each process:
 -------------------------

 Proc#	Zeropoint	F1: Amplitude	F1: Phase	F2: Amplitude	F2: Phase	F3: Amplitude	F3: Phase	F4: Amplitude	F4: Phase	F5: Amplitude	F5: Phase	
 0	0.000681072676440533	0.0365430908375732	0.572813141987706	0.0104929760292326	0.0796074190373790	0.00891660697337003	0.838416702226724	0.00985949297327719	0.590119763223122	0.00649784478193215	0.964727941210281
 1	-0.000436718218707261	0.0389564942095876	0.587140925639552	0.0106616793343730	0.0853542442295985	0.00986865620091876	0.825446234822221	0.00743605067651144	0.579459527673565	0.00592998797028124	1.05055377356535
 2	0.000838313932890298	0.0369431375150640	0.582893008175668	0.0110630731907863	0.0991292788335099	0.00845791018544201	0.837508906442048	0.00706656946159306	0.570135733318452	0.00993311367436302	1.07560072789436
 3	0.000847369388339427	0.0362873110684137	0.575657332848742	0.0120178627168633	0.0822401924228249	0.00873053768412578	0.783251891804658	0.00898151624612018	0.543717301573743	0.00619712893976504	0.975256156418740
 4	-0.000659462133232760	0.0384631844930911	0.569636559253348	0.0109912902145987	0.0684246791409044	0.0115458426665098	0.811511015327812	0.00505539933316291	0.547754888265509	0.00550851415632044	1.05950450939057
 5	-0.000991738245440234	0.0362128920580102	0.589820146094171	0.00953506695462837	0.0796400366904197	0.0107817371595764	0.773748608300211	0.00539769280835804	0.513463153762064	0.00602346290303958	1.05745774053527
 6	-0.00141651228725527	0.0423264906026484	0.577114118134077	0.0113937709440177	0.113606176374063	0.00904444045176675	0.784377997764038	0.00516093725450034	0.558408926216022	0.00565093033066233	0.950728732668241
 7	0.000276480736926879	0.0388412935934861	0.578827788920297	0.0113509968919181	0.0797643065064624	0.0106143283146641	0.796204150655812	0.00816423780797489	0.584319124680577	0.00910166135019789	1.03179685553502
 8	0.00148779195550911	0.0354105188551949	0.575471435972446	0.00691272093908379	0.106851700091990	0.0120674291034923	0.817921094391589	0.00818269182324249	0.553007647549216	0.00661641649862166	1.07539913967295
 9	0.00146214857075214	0.0379338871843036	0.578204366930727	0.00874678078661932	0.125607456032597	0.00896767962440318	0.793134113377932	0.00877273730250755	0.579668863815121	0.00586150193112865	1.06471789270355
 10	0.00189178172946318	0.0388685922680735	0.575834075504620	0.0107505734074225	0.0466884331976996	0.0102454531162232	0.841713805747906	0.0103484880307309	0.521580659324267	0.00721026252499443	1.09427720501363
 11	0.00128641194908138	0.0381361853596506	0.579666068605740	0.00939500758225867	0.106520960793666	0.00855637645223888	0.831188455417229	0.00727863591465483	0.566564299231836	0.00658913214188521	1.05696706790460
 12	0.00153264546679733	0.0392585543034719	0.582794701043255	0.0108058439861166	0.0711293927232624	0.0104042922117359	0.830964712891625	0.00603634312129922	0.544529000603896	0.00758583901748221	0.994954985820023
 13	0.00163803782278520	0.0403771495520559	0.576073177609524	0.0112198031758910	0.0270122948973333	0.0101723903949015	0.827163481331051	0.00785842148731423	0.559721056691718	0.00866456558360742	1.06464094473431
 14	0.000689721007445882	0.0388397956272573	0.579314408990977	0.0107886760882182	0.0356921685253413	0.0100189278211465	0.816070646723069	0.00775451778631593	0.565349025844850	0.00519331525854838	1.04506009872413
 15	0.00162226615784455	0.0394667994893624	0.577267934964763	0.0100750542884295	0.0544302909357106	0.00934653580820639	0.849201865514780	0.00748534830507829	0.630933820572739	0.00516976629630275	1.04721640231789
 16	0.00281975888569496	0.0379340735640660	0.584607817934728	0.00972083799577506	0.0673344483249472	0.00748346922572091	0.802438386984761	0.00672787255309566	0.483289458591174	0.00737909522036892	1.01677042494936
 17	0.00119058255011083	0.0388279500752737	0.591859680700004	0.00912281685536556	0.0825284454791411	0.0106746278677967	0.806298808711878	0.00797449332785747	0.536347275909659	0.00593282366925515	0.985270564964658
 18	0.00243936685840193	0.0373785934621626	0.567580487146010	0.00926082324896205	0.0597750125362864	0.00722628622991642	0.864052682985637	0.00692802590521140	0.617278817808860	0.00570421696358390	1.01579466182042
 19	0.00122201678527889	0.0391710249141203	0.578196878884458	0.00723825865198454	0.126934517275561	0.00908366261506256	0.819537215678974	0.00572034419521173	0.618109803635574	0.00668466059913798	1.04171850096961
 20	0.000307936929836217	0.0364817886101945	0.577233750074353	0.00931934714329912	0.0246897566457980	0.0108236985285883	0.801752187602032	0.00713837306270512	0.630753419413750	0.00815806280097756	1.04171821381476
 21	0.00296800140410359	0.0369167548656550	0.576891464780649	0.0125097095390213	0.100591269574471	0.0118197067054117	0.823372880726569	0.00816502884835979	0.537052947967962	0.00618299496878432	1.11173543001760
 22	0.00185814732503796	0.0406961668202306	0.572654806963152	0.00997456666658570	0.118190644771980	0.0109889589185227	0.849352909757338	0.00576778774700953	0.552503107256318	0.00899310680675510	1.09851698536325
 23	0.000811172634560923	0.0368821740115888	0.585485176229606	0.0116689850228854	0.0793994358988650	0.00842828572910805	0.812313161076382	0.00956771472087524	0.554171822451828	0.00640572414819680	1.05340633660085
 24	-0.000145856821041682	0.0379872584915686	0.579921823526234	0.0106870691319308	0.0866267496389090	0.00808791719539922	0.906408527020702	0.00694293381298546	0.563924181033326	0.00621493454145399	1.08235959917180
 25	0.00194240611890559	0.0399813113853681	0.571698174503011	0.00978472460357892	0.0715950636239846	0.00998180401346405	0.822016533571043	0.00803442655254321	0.592112231153900	0.00644119295930779	1.08326558735821
 26	0.00181085876315419	0.0402871823124834	0.585135905767014	0.00983356047954510	0.0312136393933367	0.0108111811983284	0.806562632962343	0.00746026060717476	0.558225173236274	0.00570332518361468	0.925542541415795
 27	0.000637177705626598	0.0381686455929327	0.582225421830050	0.0111125251757698	0.0528480194574712	0.0118324421821093	0.821506742410521	0.00807665410104111	0.609486318315691	0.00720854108614827	0.993040721194938
 28	-0.00154704766652949	0.0379401027375484	0.589512405006628	0.0117844379811308	0.0717089060316969	0.00850378092836499	0.853919512387655	0.00594056109368295	0.602848986401636	0.00501032727246833	0.954189153492169
 29	-0.00148622013230983	0.0399991963414788	0.576620903044812	0.00936984593064481	0.0397495399444705	0.0110140063749025	0.831737527845457	0.00929465416558954	0.528046495538189	0.00557454158453106	1.08748491488109
 30	-0.000441811836584299	0.0386473394323588	0.585130358262324	0.0129025105804624	0.0757970586649630	0.0100608951904232	0.835169044014481	0.00606334684394757	0.563153442990318	0.00512191199602425	1.08166449178293
 31	0.000312517377526297	0.0359688014940676	0.578714215592363	0.0124732516431784	0.104761010563821	0.0111275207462533	0.805604229003396	0.00948418872859832	0.589344410564026	0.00561314486945399	1.06552445792284
 32	-0.00116007444435917	0.0394357701689624	0.584208371218550	0.0115315124834800	0.0684743896076794	0.00819195392356788	0.824127556317488	0.00453428612209674	0.587020280222292	0.00586610642121925	1.08330537748849
 33	-0.000592943853193497	0.0391173154332542	0.573333822380931	0.0106212359584431	0.0713552611184811	0.0101965660039453	0.816833374828510	0.00980905898124291	0.591475695237136	0.00733963080056618	1.06572863542444
 34	0.000920132820696872	0.0393171039788636	0.581842425386872	0.0105759413006069	0.0534526344641839	0.0103517939102321	0.852994635526977	0.00678757774257930	0.584144316634138	0.00669035542755602	1.05465947039735
 35	0.00114263291219187	0.0382486181638473	0.586098382953909	0.00836387490676086	0.0588998478304337	0.00865002090641545	0.803006439094539	0.00711073805554551	0.538945009047794	0.00447378645892350	0.994715597976546
 36	0.000434969848491857	0.0410533206770296	0.584276470715803	0.00896692530574432	0.0856196985839914	0.0122018620267319	0.842169089951420	0.00690372397373584	0.567269535935447	0.00693176909027135	1.04801205167764
 37	-0.000505501972273412	0.0407392216691891	0.584077892856970	0.0106822007831159	0.0432697737186347	0.00975281331008516	0.857736745488494	0.00701881885060560	0.610255314769142	0.00573453769793241	1.09921388063729
 38	0.00133848245628886	0.0405180030740873	0.576718769721816	0.0120160891674095	0.102801254921022	0.00930039541295270	0.820962639229152	0.00800100180477072	0.582738272923835	0.00795592948270737	0.982482848524329
 39	0.000528957181925274	0.0363455047944302	0.584244147642362	0.0103651643421837	0.0833120403133671	0.0105926300476375	0.841774316165503	0.00682936659217016	0.577134601919949	0.00671236617680597	0.981405629271362
 40	0.00144375798981814	0.0395729691071762	0.574719984696799	0.00857371377819936	0.0503368288284785	0.0109228751711953	0.827066626454095	0.00668624832562769	0.575416569442215	0.00809604775328186	1.05763571759414
 41	-0.000372316524413265	0.0414409070945490	0.586506703867242	0.00923548306968689	0.0864726143050798	0.0100034296721242	0.794629106082513	0.00662843501810099	0.576351468835250	0.00501702797691064	1.06680041591263
 42	0.000621382105789064	0.0384540272452121	0.577321078412617	0.00734083924236419	0.0521529362433664	0.0120808703271354	0.805466390342524	0.00651179700701224	0.545167710182509	0.00861468399846082	1.02843997752216
